,Price
2024-12-30 H:00:00,68.6
2024-12-30 H:00:00,68.6
2024-12-30 H:00:00,64.65
2024-12-30 H:00:00,66.89
2024-12-30 H:00:00,69.17
2024-12-30 H:00:00,71.14
2024-12-30 H:00:00,80.2
2024-12-30 H:00:00,86.3
2024-12-30 H:00:00,87.06
2024-12-30 H:00:00,83.71
2024-12-30 H:00:00,78.88
2024-12-30 H:00:00,82.86
2024-12-30 H:00:00,80.5
2024-12-30 H:00:00,83.7
2024-12-30 H:00:00,92.42
2024-12-30 H:00:00,96.97
2024-12-30 H:00:00,109.97
2024-12-30 H:00:00,100.0
2024-12-30 H:00:00,86.62
2024-12-30 H:00:00,74.83
2024-12-30 H:00:00,68.02
2024-12-30 H:00:00,67.26
2024-12-30 H:00:00,35.66
2024-12-31 H:00:00,50.49
