Timestamp,Pumped storage generation,Solar,Wind offshore,Wind onshore,Hydro
2025-02-17 01:00:00,0.015,0.0,0.721,0.827,1.917
2025-02-17 02:00:00,0.012,0.0,0.727,1.007,1.898
2025-02-17 03:00:00,0.007,0.0,0.668,1.014,1.89
2025-02-17 04:00:00,0.023,0.0,0.792,1.015,1.905
2025-02-17 05:00:00,0.063,0.0,1.037,0.991,1.888
2025-02-17 06:00:00,0.291,0.113,1.14,1.054,1.916
2025-02-17 07:00:00,0.611,1.462,0.838,1.115,2.316
2025-02-17 08:00:00,0.81,4.281,0.696,1.152,2.605
2025-02-17 09:00:00,0.489,7.602,0.762,1.137,2.247
2025-02-17 10:00:00,0.249,10.528,0.9,1.056,2.184
2025-02-17 11:00:00,0.025,11.878,0.694,0.986,1.929
2025-02-17 12:00:00,0.094,11.161,0.503,0.915,2.097
2025-02-17 13:00:00,0.132,9.021,0.418,0.772,1.98
2025-02-17 14:00:00,0.179,5.809,0.394,0.727,2.32
2025-02-17 15:00:00,0.631,2.202,0.456,0.688,2.504
2025-02-17 16:00:00,1.629,0.144,0.415,0.806,2.527
2025-02-17 17:00:00,2.42,0.0,0.277,1.057,2.976
2025-02-17 18:00:00,1.544,0.0,0.329,1.259,2.474
2025-02-17 19:00:00,0.67,0.0,0.616,1.71,2.314
2025-02-17 20:00:00,0.198,0.0,1.162,2.277,1.938
2025-02-17 21:00:00,0.105,0.0,1.718,2.85,1.767
2025-02-17 22:00:00,0.15,0.0,2.23,3.51,1.777
2025-02-17 23:00:00,0.076,0.0,2.676,4.432,1.877
2025-02-18 00:00:00,0.014,0.0,2.76,5.245,1.757
2025-02-18 01:00:00,0.014,0.0,2.681,6.09,1.731
2025-02-18 02:00:00,0.008,0.0,3.204,6.742,1.71
2025-02-18 03:00:00,0.007,0.0,3.843,7.254,1.709
2025-02-18 04:00:00,0.011,0.0,5.013,7.833,1.708
2025-02-18 05:00:00,0.01,0.0,5.122,8.216,1.714
2025-02-18 06:00:00,0.024,0.191,4.811,8.547,1.766
2025-02-18 07:00:00,0.097,2.671,3.798,8.146,1.758
2025-02-18 08:00:00,0.008,6.829,3.198,7.456,1.728
2025-02-18 09:00:00,0.03,11.925,2.713,7.333,1.729
2025-02-18 10:00:00,0.015,16.083,2.221,7.075,1.727
2025-02-18 11:00:00,0.094,18.321,1.785,6.265,1.797
2025-02-18 12:00:00,0.055,17.347,1.208,6.114,1.774
2025-02-18 13:00:00,0.04,14.104,1.023,6.232,1.777
2025-02-18 14:00:00,0.073,9.164,0.934,6.624,1.782
2025-02-18 15:00:00,0.151,3.825,1.02,6.689,1.79
2025-02-18 16:00:00,0.814,0.343,1.044,7.103,1.936
2025-02-18 17:00:00,1.748,0.0,1.181,7.716,2.303
2025-02-18 18:00:00,1.369,0.0,1.364,7.949,1.945
2025-02-18 19:00:00,0.509,0.0,1.679,8.159,1.758
2025-02-18 20:00:00,0.123,0.0,1.491,8.156,1.665
2025-02-18 21:00:00,0.078,0.0,1.201,7.781,1.628
2025-02-18 22:00:00,0.029,0.0,1.053,7.282,1.624
2025-02-18 23:00:00,0.015,0.0,0.874,6.739,1.626
